Time,Reference,Target
14.4,77.96,77.96
14.42,77.35,77.35
14.44,76.94,76.94
14.46,76.64,76.64
14.48,76.16,76.16
14.5,75.64,75.64
14.52,74.69,74.69
14.54,74.15,74.15
14.56,73.59,73.59
14.58,72.58,72.58
14.6,72.02,72.02
14.62,71.49,71.49
14.64,71.11,71.11
14.66,70.94,70.94
14.68,70.57,70.57
14.7,70.51,70.51
14.72,70.46,70.46
14.74,70.44,70.44
14.76,70.14,70.14
14.78,70.39,70.39
14.8,70.41,70.41
14.82,70.82,70.82
14.84,70.88,70.88
14.86,70.86,70.86
14.88,71.06,71.06
14.9,71.2,71.2
14.92,71.38,71.38
14.94,71.73,71.73
14.96,71.87,71.87
14.98,71.89,71.89
15,72.08,72.08
15.02,72.43,72.43
15.04,72.63,72.63
15.06,72.61,72.61
15.08,72.84,72.84
15.1,73.12,73.12
15.12,73.4,73.4
15.14,73.4,73.4
15.16,73.73,73.73
15.18,73.78,73.78
15.2,73.91,
15.22,74.31,
15.24,74.31,
15.26,74.54,74.54
15.28,74.68,74.68
15.3,73.93,73.93
15.32,73.36,73.36
15.34,73,73
15.36,72.56,72.56
15.38,72.36,72.36
15.4,72.13,72.13
15.42,71.97,71.97
15.44,71.81,71.81
15.46,71.6,71.6
15.48,71.74,71.74
15.5,71.91,71.91
15.52,71.1,71.1
15.54,69.15,69.15
15.56,67.07,67.07
15.58,64.94,64.94
15.6,60.45,60.45
15.62,58.73,58.73
15.64,57.2,57.2
15.66,55.73,55.73
15.68,54.71,54.71
15.7,53.68,53.68
15.72,52.75,52.75
15.74,51.56,51.56
15.76,50.76,50.76
15.78,49.94,49.94
15.8,49.07,49.07
15.82,48.12,48.12
15.84,47.54,
15.86,46.99,
15.88,46.47,46.47
15.9,45.41,45.41
15.92,44.07,44.07
15.94,40.97,40.97
15.96,39,
15.98,37.25,37.25
16,35.74,35.74
16.02,34.41,34.41
16.04,32.65,32.65
16.06,29.13,29.13
16.08,27.19,27.19
16.1,25.36,25.36
16.12,23.48,23.48
16.14,21.38,21.38
16.16,19.21,19.21
16.18,16.97,16.97
16.2,14.75,14.75
16.22,12.22,12.22
16.24,9.53,9.53
16.26,6.86,6.86
16.28,4.38,4.38
16.3,0,0
16.32,0,0
16.34,0,0
16.36,0,0
16.38,0,0
